NodeIdx,TreeIdx,Left,Right,FeatureIdx,SplitValue,IsLeaf,Label
1,0,2,21,1,3997696,0,-1
2,0,3,18,2,3997696,0,-1
3,0,4,11,3,21626880,0,-1
4,0,5,8,3,13762560,0,-1
5,0,6,7,3,9830400,0,-1
6,0,-1,-1,4294967294,0,1,2
7,0,-1,-1,4294967294,0,1,0
8,0,9,10,3,17694720,0,-1
9,0,-1,-1,4294967294,0,1,2
10,0,-1,-1,4294967294,0,1,2
11,0,12,17,3,92405760,0,-1
12,0,13,14,3,25559040,0,-1
13,0,-1,-1,4294967294,0,1,5
14,0,15,16,3,29491200,0,-1
15,0,-1,-1,4294967294,0,1,5
16,0,-1,-1,4294967294,0,1,5
17,0,-1,-1,4294967294,0,1,0
18,0,19,20,3,26738688,0,-1
19,0,-1,-1,4294967294,0,1,0
20,0,-1,-1,4294967294,0,1,2
21,0,22,29,3,10289152,0,-1
22,0,23,28,1,4096000,0,-1
23,0,24,25,3,8159232,0,-1
24,0,-1,-1,4294967294,0,1,6
25,0,26,27,0,4096000,0,-1
26,0,-1,-1,4294967294,0,1,6
27,0,-1,-1,4294967294,0,1,6
28,0,-1,-1,4294967294,0,1,6
29,0,30,55,1,4161536,0,-1
30,0,31,42,4,4114724,0,-1
31,0,32,41,3,195166208,0,-1
32,0,33,36,2,4096000,0,-1
33,0,34,35,3,14221312,0,-1
34,0,-1,-1,4294967294,0,1,2
35,0,-1,-1,4294967294,0,1,6
36,0,37,40,3,24543232,0,-1
37,0,38,39,3,16351232,0,-1
38,0,-1,-1,4294967294,0,1,1
39,0,-1,-1,4294967294,0,1,2
40,0,-1,-1,4294967294,0,1,1
41,0,-1,-1,4294967294,0,1,6
42,0,43,50,3,26836992,0,-1
43,0,44,45,3,14450688,0,-1
44,0,-1,-1,4294967294,0,1,6
45,0,46,47,3,18579456,0,-1
46,0,-1,-1,4294967294,0,1,2
47,0,48,49,3,22708224,0,-1
48,0,-1,-1,4294967294,0,1,1
49,0,-1,-1,4294967294,0,1,2
50,0,51,54,3,35094528,0,-1
51,0,52,53,3,30965760,0,-1
52,0,-1,-1,4294967294,0,1,6
53,0,-1,-1,4294967294,0,1,6
54,0,-1,-1,4294967294,0,1,6
55,0,56,57,3,14680064,0,-1
56,0,-1,-1,4294967294,0,1,6
57,0,58,59,3,18874368,0,-1
58,0,-1,-1,4294967294,0,1,2
59,0,-1,-1,4294967294,0,1,2
60,0,61,354,2,13598720,0,-1
61,0,62,277,1,4390912,0,-1
62,0,63,268,0,4489216,0,-1
63,0,64,167,2,7831552,0,-1
64,0,65,136,3,38535168,0,-1
65,0,66,73,4,4122214,0,-1
66,0,67,72,3,22544384,0,-1
67,0,68,71,2,4587520,0,-1
68,0,69,70,3,14155776,0,-1
69,0,-1,-1,4294967294,0,1,6
70,0,-1,-1,4294967294,0,1,0
71,0,-1,-1,4294967294,0,1,0
72,0,-1,-1,4294967294,0,1,6
73,0,74,135,4,5710369,0,-1
74,0,75,80,4,4232533,0,-1
75,0,76,77,2,4685824,0,-1
76,0,-1,-1,4294967294,0,1,5
77,0,78,79,3,23003136,0,-1
78,0,-1,-1,4294967294,0,1,0
79,0,-1,-1,4294967294,0,1,5
80,0,81,100,1,4227072,0,-1
81,0,82,95,0,4096000,0,-1
82,0,83,88,2,4587520,0,-1
83,0,84,87,0,3997696,0,-1
84,0,85,86,4,4264521,0,-1
85,0,-1,-1,4294967294,0,1,5
86,0,-1,-1,4294967294,0,1,0
87,0,-1,-1,4294967294,0,1,0
88,0,89,90,4,4314453,0,-1
89,0,-1,-1,4294967294,0,1,6
90,0,91,94,4,4897255,0,-1
91,0,92,93,3,18186240,0,-1
92,0,-1,-1,4294967294,0,1,0
93,0,-1,-1,4294967294,0,1,5
94,0,-1,-1,4294967294,0,1,0
95,0,96,97,1,4096000,0,-1
96,0,-1,-1,4294967294,0,1,2
97,0,98,99,3,20185088,0,-1
98,0,-1,-1,4294967294,0,1,2
99,0,-1,-1,4294967294,0,1,1
100,0,101,102,3,8912896,0,-1
101,0,-1,-1,4294967294,0,1,5
102,0,103,132,2,6553600,0,-1
103,0,104,115,2,4489216,0,-1
104,0,105,106,3,15138816,0,-1
105,0,-1,-1,4294967294,0,1,5
106,0,107,114,3,32440320,0,-1
107,0,108,109,3,19464192,0,-1
108,0,-1,-1,4294967294,0,1,5
109,0,110,111,3,23789568,0,-1
110,0,-1,-1,4294967294,0,1,5
111,0,112,113,3,28114944,0,-1
112,0,-1,-1,4294967294,0,1,5
113,0,-1,-1,4294967294,0,1,5
114,0,-1,-1,4294967294,0,1,5
115,0,116,131,3,30507008,0,-1
116,0,117,118,2,4751360,0,-1
117,0,-1,-1,4294967294,0,1,1
118,0,119,130,3,20742144,0,-1
119,0,120,129,4,4917930,0,-1
120,0,121,124,3,13762560,0,-1
121,0,122,123,4,4543829,0,-1
122,0,-1,-1,4294967294,0,1,0
123,0,-1,-1,4294967294,0,1,0
124,0,125,128,4,4754090,0,-1
125,0,126,127,3,15925248,0,-1
126,0,-1,-1,4294967294,0,1,5
127,0,-1,-1,4294967294,0,1,5
128,0,-1,-1,4294967294,0,1,5
129,0,-1,-1,4294967294,0,1,5
130,0,-1,-1,4294967294,0,1,5
131,0,-1,-1,4294967294,0,1,2
132,0,133,134,3,35913728,0,-1
