SrcIP,SrcPort,DstIP,DstPort,Proto,CurrentLength,TotalPkts,MinLen,MaxLen,SumLen,MeanLen,Label
10.8.8.222,51115,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
63.245.217.160,443,10.8.8.178,54880,6,4325376,6,66,227,565,6171306,0
10.8.8.130,43462,207.241.236.176,80,6,4325376,245,66,248,17816,4765670,0
201.41.74.189,50307,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
157.55.130.154,40034,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
10.8.8.246,61321,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
157.56.52.33,443,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.8.138,33878,54.230.52.100,443,6,4325376,4,66,74,272,4456448,5
10.8.0.6,48617,68.180.110.66,12732,6,4325376,11,66,158,905,5391825,6
64.12.27.66,443,10.8.8.130,38929,6,3932160,4,60,60,240,3932160,2
10.8.8.245,67,10.8.8.246,68,17,0,1,314,314,314,20578304,-1
74.125.226.32,443,10.8.8.138,33832,6,4325376,55,66,1374,23539,28048216,5
10.8.8.138,56632,208.117.251.116,443,6,4325376,133,66,1374,10663,5254213,0
181.43.85.213,44488,10.8.8.130,51413,17,9502720,93,62,1480,78010,54972724,6
170.155.148.1,123,10.8.8.222,13465,17,0,1,90,90,90,5898240,-1
10.8.8.134,34620,71.88.124.53,55292,6,4325376,11,66,130,879,5236922,2
69.171.255.36,3478,10.8.0.10,38441,17,0,1,74,74,74,4849664,-1
173.252.79.90,50015,10.8.0.10,60169,17,7733248,2,118,146,264,8650752,6
10.8.8.134,15685,90.231.180.121,25117,17,0,1,60,60,60,3932160,-1
10.8.8.130,49539,217.133.62.145,23702,17,0,1,60,60,60,3932160,-1
10.8.8.130,43819,137.116.224.167,443,6,4325376,11,66,333,1420,8460101,0
207.241.224.2,80,10.8.8.130,55793,6,4325376,6,66,402,1076,11752789,0
10.8.8.134,15685,157.55.235.155,443,17,0,1,60,60,60,3932160,-1
10.8.8.130,33819,207.241.227.212,80,6,4325376,257,66,253,17340,4421767,0
10.8.8.234,56872,64.233.184.16,993,6,4325376,63,66,606,6785,7058123,0
10.8.8.130,38619,82.28.221.2,17920,6,4325376,13,66,146,1082,5454611,2
69.171.255.36,3478,10.8.0.10,39469,17,0,1,74,74,74,4849664,-1
10.8.8.222,57195,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.0.6,40273,157.56.52.29,40010,17,0,1,74,74,74,4849664,-1
45.50.54.24,39032,10.8.0.6,39556,6,4325376,9,66,163,764,5563278,6
10.8.8.138,51761,54.243.108.61,443,6,4325376,27,66,1374,19334,46928630,5
10.8.8.138,45349,74.125.226.47,443,6,4325376,18,66,583,2083,7583971,0
10.8.8.138,37998,74.125.226.46,443,6,4325376,4,66,74,272,4456448,5
10.8.0.6,39569,45.50.54.24,39032,6,4325376,12,66,177,996,5439488,6
10.8.8.130,49539,176.180.230.28,19011,17,0,1,60,60,60,3932160,-1
173.194.123.101,443,10.8.0.10,47188,6,4325376,19,66,1404,6514,22468500,0
10.8.8.130,43518,207.241.236.176,80,6,4325376,329,66,253,23087,4598874,0
10.8.8.234,37815,173.194.67.16,465,6,4325376,22,66,906,3002,8942685,0
10.8.8.130,59097,207.241.227.188,80,6,4325376,942,66,296,66575,4631697,0
10.8.8.130,49539,81.62.51.49,32990,17,0,1,60,60,60,3932160,-1
10.8.8.130,49539,118.232.119.63,50496,17,3932160,5,60,60,300,3932160,2
157.55.130.175,40025,10.8.0.6,40273,17,0,1,504,504,504,33030144,-1
10.8.8.138,39029,74.125.226.69,443,17,5177344,8,79,1392,2729,22355968,5
204.236.238.164,1701,10.8.8.138,34323,6,4325376,1036,66,1374,74026,4682787,5
10.8.0.10,60667,173.252.79.94,50009,17,12189696,5,86,194,838,10983833,6
10.8.0.14,43239,74.125.226.4,443,6,4325376,32,66,1404,7680,15728640,0
125.54.77.83,26421,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.234,37883,173.194.67.16,465,6,4325376,15,66,907,2801,12237755,0
10.8.8.130,48846,81.137.205.196,23528,6,4325376,47,66,587,6794,9473437,6
10.8.8.246,60941,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.110,37441,64.233.184.16,465,6,4325376,16,66,583,2426,9936896,0
199.233.217.27,123,10.8.8.110,57425,17,0,1,90,90,90,5898240,-1
10.8.8.246,49204,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.246,65037,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.130,49539,178.234.250.137,16762,17,0,1,60,60,60,3932160,-1
129.98.43.99,24011,10.8.8.130,56615,6,4325376,33,66,1178,6072,12058624,5
10.8.8.130,49539,83.11.167.26,6289,17,0,1,60,60,60,3932160,-1
10.8.8.130,49539,216.164.215.248,39542,17,0,1,60,60,60,3932160,-1
10.8.8.130,49539,108.237.134.2,7124,17,4521984,156,61,571,25317,10635736,0
77.72.169.160,6901,10.8.8.246,32823,17,0,1,84,84,84,5505024,-1
64.233.184.16,465,10.8.8.110,37449,6,3932160,19,60,304,2127,7336582,0
10.8.8.130,49539,151.236.19.39,15685,17,4587520,431,70,70,30170,4587520,2
10.8.0.6,58255,91.190.218.125,12350,6,3932160,6,60,104,418,4565674,6
157.56.52.39,40027,10.8.0.6,40273,17,4063232,2,62,62,124,4063232,6
82.28.221.2,17920,10.8.8.130,38639,6,3932160,31,60,118,2189,4627687,6
74.125.226.183,443,10.8.0.6,39435,6,4325376,19,66,291,1966,6781251,0
10.8.0.10,35198,173.252.79.94,50009,17,12189696,5,86,194,838,10983833,6
209.148.205.41,80,10.8.8.138,57747,6,4325376,18,66,1374,15340,55851235,5
10.8.8.222,63918,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
196.219.246.209,11291,10.8.8.130,51413,17,23658496,3,331,361,1053,23003136,4
216.58.221.142,443,10.8.8.138,48900,6,4325376,3,66,74,206,4500138,5
