SrcIP,SrcPort,DstIP,DstPort,Proto,CurrentLength,SumIat,TotalPkts,MinLen,MaxLen,SumLen,MeanLen,Label
216.58.219.237,443,10.8.0.10,35147,6,4325376,534864539,11,66,1404,4645,27674065,0
10.8.8.130,59709,207.241.228.122,80,6,4325376,4796153894,344,66,366,25700,4896148,0
173.194.123.11,443,10.8.0.10,56713,6,3932160,224233377541,30,60,1404,11710,25580885,0
207.241.236.176,80,10.8.8.130,43524,6,3932160,4886432233,407,60,1374,551538,88809814,0
10.8.0.6,58256,91.190.218.125,12350,6,3932160,93216789107,43,60,590,4633,7061122,0
10.8.8.222,62642,224.0.0.252,5355,17,4194304,411127080,2,64,64,128,4194304,6
10.8.0.6,58903,129.42.161.35,9692,6,4849664,7001870608,4,74,74,296,4849664,6
10.8.0.6,40273,90.163.21.193,34347,17,9895936,2447681975766,24,150,151,3612,9863168,6
111.221.74.18,40006,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
10.8.8.138,44795,74.125.226.40,443,17,5373952,475543344,4,82,1392,3309,54214656,5
173.252.79.90,443,10.8.0.10,34693,6,4325376,12419628608,5,66,170,518,6789529,6
75.101.155.12,1831,10.8.8.138,41166,6,4325376,4452261085,122,66,1374,12286,6599797,0
10.8.8.138,57621,10.8.8.137,57621,17,5636096,3861112048522,130,86,86,11180,5636096,6
74.125.226.35,443,10.8.8.138,54880,6,4325376,240632947042,16,66,216,1413,5787648,5
10.8.8.134,57344,75.171.70.99,60538,6,3932160,312683793,2,60,74,134,4390912,2
82.66.32.219,26617,10.8.8.130,55398,6,4325376,62238705497,75,66,138,5138,4489652,2
10.8.8.130,43494,207.241.236.176,80,6,4325376,24980107527,1702,66,255,118236,4552711,0
2.101.222.231,9396,10.8.8.130,34461,6,4325376,383428361858,363,66,163,32135,5801651,2
124.96.64.15,45771,10.8.8.134,15685,17,0,0,1,68,68,68,4456448,-1
10.8.8.246,50021,224.0.0.252,5355,17,4194304,413153700,2,64,64,128,4194304,6
157.56.114.104,80,10.8.8.130,59240,6,4325376,277241842,5,66,464,736,9646899,0
