SrcIP,SrcPort,DstIP,DstPort,Proto,CurrentLength,SumIat,TotalPkts,MinLen,MaxLen,SumLen,MeanLen,Label
178.164.137.127,28299,10.8.8.130,51413,17,0,0,1,361,361,361,23658496,-1
10.8.8.222,64741,224.0.0.252,5355,17,4194304,413082303,2,64,64,128,4194304,6
157.55.56.169,40008,10.8.8.130,49539,17,4063232,509623719750,2,62,62,124,4063232,2
10.8.8.130,51413,88.88.199.128,16910,17,0,0,1,139,139,139,9109504,-1
86.170.118.247,12431,10.8.8.130,59991,6,4325376,62274342580,105,66,167,7125,4447085,2
173.194.123.31,443,10.8.0.10,37187,6,4325376,234707341,10,66,1404,4930,32309248,0
141.219.235.176,60830,10.8.0.6,42903,6,4325376,11165017520,8,66,133,693,5677056,6
10.8.8.130,49154,207.241.226.111,6969,6,4325376,3950305040,6,66,416,754,8235690,4
80.239.174.47,80,10.8.8.246,29941,6,3932160,35658255866,17,60,1374,15014,57879853,0
65.55.223.38,40024,10.8.0.6,40273,17,4063232,2761172993752,2,62,62,124,4063232,6
79.111.13.217,47452,10.8.8.130,51413,17,0,0,1,275,275,275,18022400,-1
10.8.8.138,45836,74.125.226.57,443,6,4325376,250819283195,18,66,439,2368,8621624,2
10.8.8.134,50960,108.237.134.2,7124,6,4325376,29864873841,84,66,587,15460,12061744,2
10.8.8.222,57997,224.0.0.252,5355,17,4194304,418050403,2,64,64,128,4194304,6
173.194.113.112,443,10.8.8.130,59507,6,3932160,151829894,6,60,126,438,4784128,0
10.8.0.6,40273,111.221.77.158,40033,17,0,0,1,86,86,86,5636096,-1
207.241.237.128,80,10.8.8.130,47688,6,4325376,18686137293,1833,66,1374,2499672,89371797,5
111.240.65.105,33037,10.8.8.134,15685,17,0,0,1,68,68,68,4456448,-1
74.125.226.46,443,10.8.8.138,37899,6,4325376,393095579929,44,66,1374,23303,34708759,5
207.241.227.212,80,10.8.8.130,33858,6,3932160,4787590003,407,60,1374,551540,88810136,0
10.8.8.138,41299,209.148.205.32,80,6,4325376,258155821648,8,66,66,528,4325376,5
10.8.8.130,52096,207.241.227.82,80,6,4325376,3638017610,259,66,277,17401,4403057,0
65.55.223.39,40027,10.8.0.6,40273,17,4063232,1724516415929,2,62,62,124,4063232,6
10.8.8.130,51413,121.143.160.25,21696,17,0,0,1,100,100,100,6553600,-1
10.8.0.6,40273,111.221.74.25,40002,17,4980736,3352923436526,8,74,86,616,5046272,6
157.55.130.154,40034,10.8.8.178,15685,17,0,0,1,62,62,62,4063232,-1
