timestamp_ns,src_ip,src_port,dst_ip,dst_port,proto,pkt_id,prediction,confidence,latency_us
92777837458165,205.188.12.91,443,8.178.15.191,6,0,2,P2P,0.69,261.183
92777994001929,10.8.8.178,48911,12.91.187.1,6,0,2,VOIP,0.5266666666666666,156048.657
92778169725184,205.188.12.91,443,8.178.15.191,6,0,3,P2P,0.6,130673.941
92778321820911,10.8.8.178,48911,12.91.187.1,6,0,3,FT,0.64,282748.816
92782915432401,205.188.12.91,443,8.178.15.191,6,0,4,P2P,0.7266666666666667,113.221
92783065432553,10.8.8.178,48911,12.91.187.1,6,0,4,FT,0.7933333333333333,149332.158
92788749954004,205.188.12.91,443,8.178.15.191,6,0,5,FT,0.3269444444444445,148.462
92788897976542,10.8.8.178,48911,12.91.187.1,6,0,5,FT,0.7866666666666666,148145.426
92797267253081,205.188.12.91,443,8.178.15.191,6,0,6,P2P,0.2841666666666667,240.554
92797458209672,10.8.8.178,48911,12.91.187.1,6,0,6,VOIP,0.47333333333333333,191153.867
92802152355854,10.8.8.178,48911,12.91.187.1,6,0,7,VOIP,0.30666666666666664,126.925
92802359701161,205.188.12.91,443,8.178.15.191,6,0,7,BROWSING,0.8,177.128
92802935412671,10.8.8.178,48911,12.91.187.1,6,0,8,BROWSING,0.4666666666666667,127.851
92803143733230,205.188.12.91,443,8.178.15.191,6,0,8,BROWSING,0.32,131.221
92803293663734,10.8.8.178,48911,12.91.187.1,6,0,9,BROWSING,0.36333333333333334,150036.003
92803442582024,205.188.12.91,443,8.178.15.191,6,0,9,BROWSING,0.33,289528.815
92803592389139,10.8.8.178,48911,12.91.187.1,6,0,10,BROWSING,0.5466666666666666,400436.177
92803746502405,205.188.12.91,443,8.178.15.191,6,0,10,BROWSING,0.76,397270.315
92817147852322,205.188.12.91,443,8.178.15.191,6,0,11,BROWSING,0.30333333333333334,274.424
92817345426839,10.8.8.178,48911,12.91.187.1,6,0,11,BROWSING,0.7266666666666667,197716.109
92817494263518,205.188.12.91,443,8.178.15.191,6,0,12,BROWSING,0.36,146887.899
92817642918754,10.8.8.178,48911,12.91.187.1,6,0,12,BROWSING,0.7666666666666667,295518.19
92825358980348,10.8.8.178,56909,52.13.75.156,6,0,2,FT,0.45,191.128
92825628875675,157.56.52.13,40011,8.178.77.222,6,0,2,VOIP,0.56,119.832
92846281733631,10.8.8.178,56909,52.13.75.156,6,0,3,STREAMING,0.6366666666666667,182.35
92846551954863,157.56.52.13,40011,8.178.77.222,6,0,3,STREAMING,0.9633333333333334,119.777
92906296557135,10.8.8.178,54269,25.26.187.1,6,0,2,P2P,0.2733333333333333,195.98
92906516974405,134.170.25.26,443,8.178.253.211,6,0,2,VOIP,0.22666666666666666,141.036
92906665577343,10.8.8.178,54269,25.26.187.1,6,0,3,BROWSING,0.4866666666666667,148718.252
92945175151475,157.56.52.13,40011,8.178.77.222,6,0,4,STREAMING,0.6266666666666667,239.091
92945376029461,10.8.8.178,56909,52.13.75.156,6,0,4,STREAMING,0.8566666666666667,201074.318
