timestamp_ns,src_ip,src_port,dst_ip,dst_port,proto,pkt_id,predicted_label,infer_latency_us,total_latency_us
612399008674178,10.0.0.2,1025,20.0.0.2,1025,17,1,VOIP,227099.533,246844.562
612399210786118,10.0.0.3,1026,20.0.0.3,1026,17,1,VOIP,191326.576,199692.341
612399393984759,10.0.0.4,1027,20.0.0.4,1027,17,1,VOIP,173239.562,180486.194
612399520617425,10.0.0.5,1028,20.0.0.5,1028,17,1,VOIP,117730.594,124311.751
612399646974485,10.0.0.6,1029,20.0.0.6,1029,17,1,VOIP,117697.908,124050.2
612399775565793,10.0.0.7,1030,20.0.0.7,1030,17,1,VOIP,119399.295,126301.43
612399906858754,10.0.0.8,1031,20.0.0.8,1031,17,1,VOIP,121314.826,127795.93
612400033478883,10.0.0.9,1032,20.0.0.9,1032,17,1,VOIP,117747.038,124309.455
612400160611174,10.0.0.10,1033,20.0.0.10,1033,17,1,VOIP,118604.341,124816.82
612400286617774,10.0.0.11,1034,20.0.0.11,1034,17,1,VOIP,117632.261,123798.924
612400414169133,10.0.0.12,1035,20.0.0.12,1035,17,1,VOIP,118469.233,125314.054
612400540065309,10.0.0.13,1036,20.0.0.13,1036,17,1,VOIP,117500.263,123649.389
612400667763444,10.0.0.14,1037,20.0.0.14,1037,17,1,VOIP,119408.906,125504.199
612400798795352,10.0.0.15,1038,20.0.0.15,1038,17,1,VOIP,120803.814,128812.695
612400932420320,10.0.0.16,1039,20.0.0.16,1039,17,1,VOIP,125142.482,131337.015
612401060129825,10.0.0.17,1040,20.0.0.17,1040,17,1,VOIP,119327.425,125464.719
612401185584710,10.0.0.18,1041,20.0.0.18,1041,17,1,VOIP,117107.287,123254.413
612401312694593,10.0.0.19,1042,20.0.0.19,1042,17,1,VOIP,118773.71,124930.373
612401441580824,10.0.0.20,1043,20.0.0.20,1043,17,1,VOIP,120482.319,126690.018
612401571018882,10.0.0.21,1044,20.0.0.21,1044,17,1,VOIP,121077.237,127247.882
612401697974933,10.0.0.22,1045,20.0.0.22,1045,17,1,VOIP,118597.675,124701.858
612401824768598,10.0.0.23,1046,20.0.0.23,1046,17,1,VOIP,117646.465,124574.1
612401958294215,10.0.0.24,1047,20.0.0.24,1047,17,1,VOIP,124917.374,131265.405
612402086266254,10.0.0.25,1048,20.0.0.25,1048,17,1,VOIP,119574.737,125687.938
612402214426439,10.0.0.26,1049,20.0.0.26,1049,17,1,VOIP,119838.79,125941.917
612402343062136,10.0.0.27,1050,20.0.0.27,1050,17,1,VOIP,120265.932,126376.429
612402472304733,10.0.0.28,1051,20.0.0.28,1051,17,1,VOIP,120944.794,127041.514
612402598178872,10.0.0.29,1052,20.0.0.29,1052,17,1,VOIP,117505.208,123673.741
612402727593726,10.0.0.30,1053,20.0.0.30,1053,17,1,VOIP,121176.587,127218.437
612402858617893,10.0.0.31,1054,20.0.0.31,1054,17,1,VOIP,121609.841,128790.436
612402987968970,10.0.0.32,1055,20.0.0.32,1055,17,1,VOIP,120044.25,126979.403
612403116683611,10.0.0.33,1056,20.0.0.33,1056,17,1,VOIP,120325.19,126482.428
612403242121219,10.0.9.240,3567,20.0.1.19,3567,17,1,VOIP,117038.843,123226.895
612403368301836,10.0.17.214,5589,20.0.0.108,5589,17,1,VOIP,117744.334,123893.535
612403497458637,10.0.24.253,7420,20.0.0.42,7420,17,1,VOIP,120775.425,126975.551
612403631028735,10.0.29.240,8687,20.0.0.129,8687,17,1,VOIP,125133.279,131261.034
612403761873775,10.0.34.223,9950,20.0.0.67,9950,17,1,VOIP,122462.33,128593.883
612403893689506,10.0.39.229,11236,20.0.1.108,11236,17,1,VOIP,122665.42,129594.851
612404023890888,10.0.45.6,12549,20.0.1.165,12549,17,1,VOIP,121185.699,127910.781
612404158463436,10.0.49.248,13815,20.0.0.231,13815,17,1,VOIP,125412.997,132301.614
612404286479456,10.0.54.239,15086,20.0.0.60,15086,17,1,VOIP,119037.429,125194.555
612404413822595,10.0.59.219,16346,20.0.1.140,16346,17,1,VOIP,118994.985,125104.982
612404542068223,10.0.64.215,17622,20.0.0.77,17622,17,1,VOIP,119707.088,126003.323
612404671572206,10.0.69.194,18881,20.0.1.107,18881,17,1,VOIP,121117.181,127218.289
612404800198866,10.0.74.191,20158,20.0.0.178,20158,17,1,VOIP,119523.886,126407.299
612404931667398,10.0.79.221,21468,20.0.0.125,21468,17,1,VOIP,122215.074,129274.541
612405063714478,10.0.85.22,22805,20.0.1.12,22805,17,1,VOIP,122975.991,129749.35
612405194608721,10.0.90.18,24081,20.0.0.79,24081,17,1,VOIP,122448.126,128616.031
612405323148938,10.0.94.249,25336,20.0.0.129,25336,17,1,VOIP,120065.324,126292.671
612405452766197,10.0.99.240,26607,20.0.0.92,26607,17,1,VOIP,121185.643,127378.473
612405582260883,10.0.104.249,27896,20.0.1.22,27896,17,1,VOIP,121123.143,127302.084
612405709363970,10.0.110.8,29191,20.0.1.175,29191,17,1,VOIP,118652.026,124841.764
612405840181769,10.0.114.253,30460,20.0.0.170,30460,17,1,VOIP,122431.146,128615.549
612405975882322,10.0.119.241,31728,20.0.1.113,31728,17,1,VOIP,126531.02,133512.062
612406106086592,10.0.125.40,33063,20.0.0.136,33063,17,1,VOIP,121706.507,127910.391
612406236662876,10.0.130.40,34343,20.0.1.24,34343,17,1,VOIP,121977.41,128188.629
612406363767926,10.0.135.42,35625,20.0.1.18,35625,17,1,VOIP,118858.875,124916.892
612406490368778,10.0.140.48,36911,20.0.0.138,36911,17,1,VOIP,118212.661,124377.991
612406619376841,10.0.145.60,38203,20.0.0.254,38203,17,1,VOIP,120696.927,126775.535
612406747479637,10.0.150.39,39462,20.0.0.149,39462,17,1,VOIP,119612.385,125880.843
612406879303720,10.0.155.54,40757,20.0.0.247,40757,17,1,VOIP,123432.652,129591.259
612407010047224,10.0.160.84,42067,20.0.0.178,42067,17,1,VOIP,121497.305,128531.457
612407138266927,10.0.165.97,43360,20.0.0.106,43360,17,1,VOIP,119789.901,125943.842
612407267324193,10.0.170.104,44647,20.0.1.174,44647,17,1,VOIP,120744.426,126836.683
612407398159047,10.0.175.79,45902,20.0.0.205,45902,17,1,VOIP,122381.35,128594.216
612407525551186,10.0.180.60,47163,20.0.1.14,47163,17,1,VOIP,119044.318,125175.87
612407651664934,10.0.185.72,48455,20.0.0.70,48455,17,1,VOIP,117817.537,123940.497
612407781371339,10.0.190.128,49791,20.0.1.99,49791,17,1,VOIP,121301.678,127480.526
612407914660774,10.0.195.156,51099,20.0.1.26,51099,17,1,VOIP,124904.299,131102.314
612408045678460,10.0.200.194,52417,20.0.0.187,52417,17,1,VOIP,121791.283,128779.584
612408174252769,10.0.205.217,53720,20.0.0.180,53720,17,1,VOIP,120156.433,126300.3
612408303162056,10.0.211.26,55065,20.0.0.139,55065,17,1,VOIP,120593.965,126690.5
612408429208322,10.0.216.26,56345,20.0.0.95,56345,17,1,VOIP,117645.669,123817.202
612408557164972,10.0.221.20,57619,20.0.1.174,57619,17,1,VOIP,118957.06,125758.177
612408684264763,10.0.226.22,58901,20.0.0.84,58901,17,1,VOIP,118650.174,124896.818
612408814346868,10.0.231.37,60196,20.0.0.193,60196,17,1,VOIP,121391.27,127779.449
612408947151605,10.0.236.43,61482,20.0.0.29,61482,17,1,VOIP,124403.287,130558.506
612409077803203,10.0.241.78,62797,20.0.0.146,62797,17,1,VOIP,121263.827,128415.811
612409207661718,10.0.246.119,64118,20.0.0.212,64118,17,1,VOIP,121421.103,127566.451
612409334760249,10.0.251.147,65426,20.0.1.126,65426,17,1,VOIP,118664.841,124855.244
612409463704369,10.1.0.153,2201,20.0.1.128,2201,17,1,VOIP,120683.112,126732.277
612409595473841,10.1.5.169,3497,20.0.0.208,3497,17,1,VOIP,123346.708,129519.538
